Entity;Phone;State;Date;Duration;Hour
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990161783;EFECTIVO;18/12/2020;01:12:00;09:00:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;967912283;RECHAZADO;21/04/2020;00:00:00;08:32:00
ABANCA;990161793;RECHAZADO;24/12/2020;00:00:00;13:49:00
ABANCA;990161793;RECHAZADO;11/02/2019;00:00:00;14:58:00
ABANCA;907484390;EFECTIVO;20/10/2021;01:01:00;14:56:00
ABANCA;995559384;RECHAZADO;21/09/2019;00:00:00;16:09:00
ABANCA;990161793;EFECTIVO;8/07/2021;04:06:00;15:20:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;992692860;RECHAZADO;13/05/2020;00:00:00;17:30:00
ABANCA;988410259;RECHAZADO;28/09/2022;00:00:00;13:46:00
ABANCA;967912283;EFECTIVO;18/09/2021;03:35:00;14:20:00
ABANCA;992692860;EFECTIVO;13/09/2020;01:49:00;11:30:00
ABANCA;995621373;EFECTIVO;5/02/2019;01:04:00;08:00:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;996203521;RECHAZADO;15/05/2022;00:00:00;08:08:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;995434483;EFECTIVO;7/09/2019;01:42:00;17:30:00
ABANCA;992692860;RECHAZADO;10/08/2021;00:00:00;14:23:00
ABANCA;967912283;RECHAZADO;15/07/2019;00:00:00;12:25:00
ABANCA;994990166;EFECTIVO;25/06/2022;01:29:00;11:00:00
ABANCA;992692860;RECHAZADO;29/05/2019;00:00:00;13:37:00
ABANCA;907484390;EFECTIVO;23/11/2020;03:32:00;17:30:00
ABANCA;990547274;EFECTIVO;25/06/2022;01:29:00;13:30:00
ABANCA;990161793;EFECTIVO;8/07/2021;04:06:00;15:20:00
